Hora,Noroeste Ozono,Noroeste diÌ_xido de azufre,Noroeste diÌ_xido de nitrÌ_geno,Noroeste monÌ_xido de carbono,Noroeste PM10,Noreste diÌ_xido de azufre,Noreste diÌ_xido de nitrÌ_geno,Noreste monÌ_xido de carbono,Noreste PM10,Noreste Ozono
6,4,3,21,9,83,2,20,13,101,3
7,1,4,20,9,84,2,19,14,102,1
8,3,4,20,9,86,2,19,15,103,2
9,6,4,22,9,86,2,21,15,104,4
10,16,4,27,9,87,2,30,16,105,15
11,26,4,35,9,86,3,30,16,106,26
12,41,4,27,9,86,3,27,16,106,48
13,61,4,12,8,86,3,15,15,106,96
14,86,4,15,8,83,3,12,15,106,111
15,113,4,12,7,81,3,10,13,106,124
16,120,4,10,7,81,3,9,11,105,127
17,118,4,10,6,83,3,8,9,105,125
18,111,4,9,5,81,3,9,9,105,123
19,76,5,10,4,81,4,10,8,105,104
20,50,5,14,3,83,5,12,7,105,45
21,40,5,20,4,83,5,15,7,105,40
22,31,5,20,4,81,5,19,7,105,42
23,33,5,22,4,81,5,15,7,104,37
24,33,5,21,5,80,5,23,7,105,22
1,34,5,16,5,78,5,19,7,104,27
2,25,7,19,5,78,5,21,8,104,26
3,22,8,19,5,78,5,22,8,103,9
4,22,8,18,5,77,5,21,9,103,4
5,16,8,18,5,77,5,20,10,103,5
6,19,8,19,5,76,5,20,10,103,7
7,11,8,21,5,76,5,20,10,102,3
8,6,8,20,6,77,5,20,11,102,3
9,9,8,24,7,77,5,25,12,100,8
10,21,8,23,7,78,5,24,13,97,21
11,33,8,22,7,74,5,20,13,94,38
12,49,8,12,7,71,5,13,13,93,65
13,76,8,11,7,73,5,10,13,91,100
14,108,8,10,7,70,5,7,12,87,109
15,120,8,9,7,70,5,5,11,84,112
16,118,8,9,6,70,5,7,9,86,111
17,112,8,10,5,70,5,10,8,84,116
18,94,8,12,5,71,5,12,7,86,73
19,67,6,12,5,73,4,12,7,87,73
20,76,6,11,5,76,4,12,7,84,61
21,47,6,17,5,74,4,14,6,84,45
22,35,6,13,5,76,4,12,7,84,41
23,36,6,13,5,76,5,10,7,86,36
24,35,6,9,5,76,5,15,7,84,37
1,35,5,10,5,74,5,15,7,84,36
2,35,5,10,5,74,5,15,8,83,39
3,27,5,12,5,73,5,12,8,83,36
4,24,5,11,5,71,5,14,8,83,34
5,16,5,16,5,70,5,14,8,81,26
